Key,Source,Context,Changes,English,schinese
You are mastering the art of collecting every piece of scrap and armor you find lying around and then wearing it. Your damage reduction increases.,progression,skills,New,You are mastering the art of collecting every piece of scrap and armor you find lying around and then wearing it. Your damage reduction increases.,你正在学习收集每一块散落的金属碎片和护甲，并装备它们的技术。你的伤害减免增加了
Increase your Damage Resistance by 1.2%.,progression,skills,New,Increase your Damage Resistance by 1.2%.,伤害减免提高1.2%
Increase your Damage Resistance by 2.4%.,progression,skills,New,Increase your Damage Resistance by 2.4%.,伤害减免提高2.4%
Increase your Damage Resistance by 3.6%.,progression,skills,New,Increase your Damage Resistance by 3.6%.,伤害减免提高3.6%
Increase your Damage Resistance by 4.8%.,progression,skills,New,Increase your Damage Resistance by 4.8%.,伤害减免提高4.8%
Increase your Damage Resistance by 6%.,progression,skills,New,Increase your Damage Resistance by 6%.,伤害减免提高6%
Increase your Damage Resistance by 7.2%.,progression,skills,New,Increase your Damage Resistance by 7.2%.,伤害减免提高7.2%
"Вон он сука! *head, eyes*. Increase your Damage Resistance by 10%.",progression,skills,New,"Вон он сука! *head, eyes*. Increase your Damage Resistance by 10%.","Вон он сука! *head, eyes*.\n伤害减免提高10%"
Gold Digger,progression,skills,New,Gold Digger,淘金者
You are mastering the art of digging deep. You find more stuff when gathering resources.,progression,skills,New,You are mastering the art of digging deep. You find more stuff when gathering resources.,你正在学习挖掘的技巧。在采集资源时，你能发现更多的东西。
"Harvest 7% more, gain 7% more experience and find rare valuables from ore, stone, terrain blocks and trees.",progression,skills,New,"Harvest 7% more, gain 7% more experience and find rare valuables from ore, stone, terrain blocks and trees.",采集数量提高 7%\n经验获取提高 7%\n从矿石、石头、地形块和树木中找到稀有宝物
"Harvest 14% more, gain 14% more experience and find rare valuables from ore, stone, terrain blocks and trees.",progression,skills,New,"Harvest 14% more, gain 14% more experience and find rare valuables from ore, stone, terrain blocks and trees.",采集数量提高 14%\n经验获取提高 14%\n从矿石、石头、地形块和树木中找到稀有宝物
"Harvest 21% more, gain 21% more experience and find rare valuables from ore, stone, terrain blocks and trees.",progression,skills,New,"Harvest 21% more, gain 21% more experience and find rare valuables from ore, stone, terrain blocks and trees.",采集数量提高 21%\n经验获取提高 21%\n从矿石、石头、地形块和树木中找到稀有宝物
"Harvest 28% more, gain 28% more experience and find rare valuables from ore, stone, terrain blocks and trees.",progression,skills,New,"Harvest 28% more, gain 28% more experience and find rare valuables from ore, stone, terrain blocks and trees.",采集数量提高 28%\n经验获取提高 28%\n从矿石、石头、地形块和树木中找到稀有宝物
"Harvest 35% more, gain 35% more experience and find rare valuables from ore, stone, terrain blocks and trees.",progression,skills,New,"Harvest 35% more, gain 35% more experience and find rare valuables from ore, stone, terrain blocks and trees.",采集数量提高 35%\n经验获取提高 35%\n从矿石、石头、地形块和树木中找到稀有宝物
"Harvest 42% more, gain 42% more experience and find rare valuables from ore, stone, terrain blocks and trees.",progression,skills,New,"Harvest 42% more, gain 42% more experience and find rare valuables from ore, stone, terrain blocks and trees.",采集数量提高 42%\n经验获取提高 42%\n从矿石、石头、地形块和树木中找到稀有宝物
"Rock and stone! Harvest 50% more, gain 50% more experience and find rare valuables from ore, stone, terrain blocks and trees.",progression,skills,New,"Rock and stone! Harvest 50% more, gain 50% more experience and find rare valuables from ore, stone, terrain blocks and trees.",Rock and stone! \n采集数量提高 50%\n经验获取提高 50%\n从矿石、石头、地形块和树木中找到稀有宝物
Efficiency,progression,skills,New,Efficiency,效率
You are mastering minimal exertion while using weapons and tools. Lose less Stamina per melee swing.,progression,skills,New,You are mastering minimal exertion while using weapons and tools. Lose less Stamina per melee swing.,"你正在学习使用武器和工具时的技巧,每次近战挥动消耗的耐力更少"
Lose 3% less stamina while swinging melee tools and weapons.,progression,skills,New,Lose 3% less stamina while swinging melee tools and weapons.,"在挥动近战工具和武器时,体力消耗降低3%"
Lose 6% less stamina while swinging melee tools and weapons.,progression,skills,New,Lose 6% less stamina while swinging melee tools and weapons.,"在挥动近战工具和武器时,体力消耗降低6%"
Lose 9% less stamina while swinging melee tools and weapons.,progression,skills,New,Lose 9% less stamina while swinging melee tools and weapons.,"在挥动近战工具和武器时,体力消耗降低9%"
Lose 12% less stamina while swinging melee tools and weapons.,progression,skills,New,Lose 12% less stamina while swinging melee tools and weapons.,"在挥动近战工具和武器时,体力消耗降低12%"
Lose 15% less stamina while swinging melee tools and weapons.,progression,skills,New,Lose 15% less stamina while swinging melee tools and weapons.,"在挥动近战工具和武器时,体力消耗降低15%"
Lose 18% less stamina while swinging melee tools and weapons.,progression,skills,New,Lose 18% less stamina while swinging melee tools and weapons.,"在挥动近战工具和武器时,体力消耗降低18%"
You use precisely the amount of strength that you need. Lose 25% less stamina while swinging melee tools and weapons.,progression,skills,New,You use precisely the amount of strength that you need. Lose 25% less stamina while swinging melee tools and weapons.,"你精确地运用了你所需要的力量\n在挥动近战工具和武器时,体力消耗降低 18%"
Shrimp Punch,progression,skills,New,Shrimp Punch,虾拳
You are mastering the art of the Mantis Shrimp Punch. Deal more melee entity and block damage.,progression,skills,New,You are mastering the art of the Mantis Shrimp Punch. Deal more melee entity and block damage.,"你正在学习螳螂虾拳的技巧,造成更多的近战实体和物块伤害"
Increase your Melee and Block Damage by 4%.,progression,skills,New,Increase your Melee and Block Damage by 4%.,你的的近战和物块伤害增加4%
Increase your Melee and Block Damage by 8%.,progression,skills,New,Increase your Melee and Block Damage by 8%.,将你的近战和物块伤害增加8%
Increase your Melee and Block Damage by 12%.,progression,skills,New,Increase your Melee and Block Damage by 12%.,将你的近战和物块伤害增加12%
Increase your Melee and Block Damage by 16%.,progression,skills,New,Increase your Melee and Block Damage by 16%.,将你的近战和物块伤害增加16%
Increase your Melee and Block Damage by 20%.,progression,skills,New,Increase your Melee and Block Damage by 20%.,将你的近战和物块伤害增加20%
Increase your Melee and Block Damage by 24%.,progression,skills,New,Increase your Melee and Block Damage by 24%.,将你的近战和物块伤害增加24%
Your attacks reach supersonic speeds! Increase your Melee and Block Damage by 30%.,progression,skills,New,Your attacks reach supersonic speeds! Increase your Melee and Block Damage by 30%.,你的攻击达到了超音速!\n将你的近战和物块伤害增加 30%
Rapid Blows,progression,skills,New,Rapid Blows,迅疾打击
You are mastering the art of rapid attacks. You are able too attack even faster.,progression,skills,New,You are mastering the art of rapid attacks. You are able too attack even faster.,"你正在掌握快速攻击的技巧,你能够更快的攻击"
Increase your Attack Speed with melee tools and weapons by 4%.,progression,skills,New,Increase your Attack Speed with melee tools and weapons by 4%.,近战工具和武器的攻击速度增加4%
Increase your Attack Speed with melee tools and weapons by 8%.,progression,skills,New,Increase your Attack Speed with melee tools and weapons by 8%.,近战工具和武器的攻击速度增加8%
Increase your Attack Speed with melee tools and weapons by 12%.,progression,skills,New,Increase your Attack Speed with melee tools and weapons by 12%.,近战工具和武器的攻击速度增加12%
Increase your Attack Speed with melee tools and weapons by 16%.,progression,skills,New,Increase your Attack Speed with melee tools and weapons by 16%.,近战工具和武器的攻击速度增加16%
Increase your Attack Speed with melee tools and weapons by 20%.,progression,skills,New,Increase your Attack Speed with melee tools and weapons by 20%.,近战工具和武器的攻击速度增加20%
Increase your Attack Speed with melee tools and weapons by 24%.,progression,skills,New,Increase your Attack Speed with melee tools and weapons by 24%.,近战工具和武器的攻击速度增加24%
Fast as lightning! Increase your Attack Speed with melee tools and weapons by 30%.,progression,skills,New,Fast as lightning! Increase your Attack Speed with melee tools and weapons by 30%.,快如闪电!\n近战工具和武器的攻击速度增加 30%
Criminal,progression,skills,New,Criminal,罪犯
You are mastering Criminal activities. You make less noise while sneaking around and you're getting better at picking locks.,progression,skills,New,You are mastering Criminal activities. You make less noise while sneaking around and you're getting better at picking locks.,"你正在练习犯罪活动,你在潜行时发出的声音更少，而且你在撬锁方面越来越厉害"
Decrease noise by 3% while crouching and deal 30% more damage while also undetected. You handle lockpicks 4% better.,progression,skills,New,Decrease noise by 3% while crouching and deal 30% more damage while also undetected. You handle lockpicks 4% better.,蹲下时噪音减少3%\n在未被发现的情况下伤害提高 30%\n撬锁技能提高4%
Decrease noise by 6% while crouching and deal 60% more damage while also undetected. You handle lockpicks 8% better.,progression,skills,New,Decrease noise by 6% while crouching and deal 60% more damage while also undetected. You handle lockpicks 8% better.,蹲下时噪音减少6%\n在未被发现的情况下伤害提高 60%\n撬锁技能提高8%
Decrease noise by 9% while crouching and deal 90% more damage while also undetected. You handle lockpicks 12% better.,progression,skills,New,Decrease noise by 9% while crouching and deal 90% more damage while also undetected. You handle lockpicks 12% better.,蹲下时噪音减少9%\n在未被发现的情况下伤害提高 90%\n撬锁技能提高12%
Decrease noise by 12% while crouching and deal 120% more damage while also undetected. You handle lockpicks 16% better.,progression,skills,New,Decrease noise by 12% while crouching and deal 120% more damage while also undetected. You handle lockpicks 16% better.,蹲下时噪音减少12%\n在未被发现的情况下伤害提高 120%\n撬锁技能提高16%
Decrease noise by 15% while crouching and deal 150% more damage while also undetected. You handle lockpicks 20% better.,progression,skills,New,Decrease noise by 15% while crouching and deal 150% more damage while also undetected. You handle lockpicks 20% better.,蹲下时噪音减少15%\n在未被发现的情况下伤害提高 150%\n撬锁技能提高20%
Decrease noise by 18% while crouching and deal 180% more damage while also undetected. You handle lockpicks 24% better.,progression,skills,New,Decrease noise by 18% while crouching and deal 180% more damage while also undetected. You handle lockpicks 24% better.,蹲下时噪音减少18%\n在未被发现的情况下伤害提高 250%\n撬锁技能提高24%
"Click out of one, nothing on two, three is binding. Decrease noise by 25% while crouching and deal 250% more damage while also undetected. You handle lockpicks 30% better.",progression,skills,New,"Click out of one, nothing on two, three is binding. Decrease noise by 25% while crouching and deal 250% more damage while also undetected. You handle lockpicks 30% better.","Click out of one, nothing on two, three is binding. \n蹲下时噪音减少25%\n在未被发现的情况下伤害提高250%\n撬锁技能提高30%"
Crafting,progression,skills,New,Crafting,制作
"You are mastering crafting, allowing you to craft even faster than before.",progression,skills,New,"You are mastering crafting, allowing you to craft even faster than before.",你正在学习制作技能，你能够比以前更快地制作物品
Increase your crafting speed by 7%.,progression,skills,New,Increase your crafting speed by 7%.,你的制作速度提高7%
Increase your crafting speed by 14%.,progression,skills,New,Increase your crafting speed by 14%.,你的制作速度提高14%
Increase your crafting speed by 21%.,progression,skills,New,Increase your crafting speed by 21%.,你的制作速度提高21%
Increase your crafting speed by 28%.,progression,skills,New,Increase your crafting speed by 28%.,你的制作速度提高28%
Increase your crafting speed by 35%.,progression,skills,New,Increase your crafting speed by 35%.,你的制作速度提高35%
Increase your crafting speed by 42%.,progression,skills,New,Increase your crafting speed by 42%.,你的制作速度提高42%
Don't judge someone until you've stood at his forge and worked with his hammer. Increase your crafting speed by 60%.,progression,skills,New,Don't judge someone until you've stood at his forge and worked with his hammer. Increase your crafting speed by 60%.,"在你站在他的熔炉旁边,用他的锤子工作之前,不要去评判一个人\n制作速度提高60%"
Dismemberment,progression,skills,New,Dismemberment,肢解
You are mastering the art of exploding enemy body parts. Get an additional chance to dismember with any weapon or fists.,progression,skills,New,You are mastering the art of exploding enemy body parts. Get an additional chance to dismember with any weapon or fists.,"你正在学习肢解敌人的技术,无论使用何种武器或拳头,都有额外的机会进行肢解"
Increase your chance to dismember by 1.2%.,progression,skills,New,Increase your chance to dismember by 1.2%.,你的肢解概率增加1.2%
Increase your chance to dismember by 2.4%.,progression,skills,New,Increase your chance to dismember by 2.4%.,你的肢解概率增加2.4%
Increase your chance to dismember by 3.6%.,progression,skills,New,Increase your chance to dismember by 3.6%.,你的肢解概率增加3.6%
Increase your chance to dismember by 4.8%.,progression,skills,New,Increase your chance to dismember by 4.8%.,你的肢解概率增加4.8%
Increase your chance to dismember by 6%.,progression,skills,New,Increase your chance to dismember by 6%.,你的肢解概率增加6%
Increase your chance to dismember by 7.2%.,progression,skills,New,Increase your chance to dismember by 7.2%.,你的肢解概率增加7.2%
Omae wa mou shindeiru. Increase your chance to dismember by 10%.,progression,skills,New,Omae wa mou shindeiru. Increase your chance to dismember by 10%.,Omae wa mou shindeiru.(你已经死了)\n你的肢解概率增加10%
Memorisation,progression,skills,New,Memorisation,记忆
You mastering the mnemonic method of memorisation. You are earning experience faster.,progression,skills,New,You mastering the mnemonic method of memorisation. You are earning experience faster.,"你正在学习记忆的方法,你可以更快地获得经验"
Increase your earned experience by 4%.,progression,skills,New,Increase your earned experience by 4%.,你获得的经验提高4%
Increase your earned experience by 8%.,progression,skills,New,Increase your earned experience by 8%.,你获得的经验提高8%
Increase your earned experience by 12%.,progression,skills,New,Increase your earned experience by 12%.,你获得的经验提高12%
Increase your earned experience by 16%.,progression,skills,New,Increase your earned experience by 16%.,你获得的经验提高16%
Increase your earned experience by 20%.,progression,skills,New,Increase your earned experience by 20%.,你获得的经验提高20%
Increase your earned experience by 24%.,progression,skills,New,Increase your earned experience by 24%.,你获得的经验提高24%
Your memorisation rivals that of Magnus Carlsen. Increase your earned experience by 30%.,progression,skills,New,Your memorisation rivals that of Magnus Carlsen. Increase your earned experience by 30%.,你的记忆力可以与马格努斯·卡尔森相媲美\n你获得的经验提高30%
Triage,progression,skills,New,Triage,诊断
You are mastering the ways of triage increasing the effectivnes of medical items.,progression,skills,New,You are mastering the ways of triage increasing the effectivnes of medical items.,"你正在学习诊断的技术,增强医疗物品的效果"
Increase the healing effectivnes of medical items by 8%.,progression,skills,New,Increase the healing effectivnes of medical items by 8%.,医疗物品的治疗效果提升8%
Increase the healing effectivnes of medical items by 16%.,progression,skills,New,Increase the healing effectivnes of medical items by 16%.,医疗物品的治疗效果提升16%
Increase the healing effectivnes of medical items by 24%.,progression,skills,New,Increase the healing effectivnes of medical items by 24%.,医疗物品的治疗效果提升24%
Increase the healing effectivnes of medical items by 32%.,progression,skills,New,Increase the healing effectivnes of medical items by 32%.,医疗物品的治疗效果提升32%
Increase the healing effectivnes of medical items by 40%.,progression,skills,New,Increase the healing effectivnes of medical items by 40%.,医疗物品的治疗效果提升40%
Increase the healing effectivnes of medical items by 48%.,progression,skills,New,Increase the healing effectivnes of medical items by 48%.,医疗物品的治疗效果提升48%
Hypocrite that you are to trust the chemicals in your brain to tell you they are chemicals. Increase the healing effectivnes of medical items by 60%.,progression,skills,New,Hypocrite that you are to trust the chemicals in your brain to tell you they are chemicals. Increase the healing effectivnes of medical items by 60%.,"虚伪的你竟然相信脑中的化学物质告诉你,它们是化学物质。\n医疗物品的治疗效果提升 60%。"
Double Penetration,progression,skills,New,Double Penetration,双重穿透
You are mastering the art of penetration. Enemy armor reduced and penetration count increased.,progression,skills,New,You are mastering the art of penetration. Enemy armor reduced and penetration count increased.,你正在练习穿透护甲的技术。减少敌人的护甲并增加穿透次数。
"Ignore an additional 3% of armor with firearms, archery and spears. AP rounds penetrate an additional target or a block of up to 250 extra hit points when using Hunting, Marksman or Sniper Rifles.",progression,skills,New,"Ignore an additional 3% of armor with firearms, archery and spears. AP rounds penetrate an additional target or a block of up to 250 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略3%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达250额外生命值的阻挡。
"Ignore an additional 6% of armor with firearms, archery and spears. AP rounds penetrate an additional target or a block of up to 250 extra hit points when using Hunting, Marksman or Sniper Rifles.",progression,skills,New,"Ignore an additional 6% of armor with firearms, archery and spears. AP rounds penetrate an additional target or a block of up to 250 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略6%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达250额外生命值的阻挡。
"Ignore an additional 9% of armor with firearms, archery and spears. AP rounds penetrate two additional targets or blocks of up to 500 extra hit points when using Hunting, Marksman or Sniper Rifles.",progression,skills,New,"Ignore an additional 9% of armor with firearms, archery and spears. AP rounds penetrate two additional targets or blocks of up to 500 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略9%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达500额外生命值的阻挡。
"Ignore an additional 12% of armor with firearms, archery and spears. AP rounds penetrate two additional targets or blocks of up to 500 extra hit points when using Hunting, Marksman or Sniper Rifles.",progression,skills,New,"Ignore an additional 12% of armor with firearms, archery and spears. AP rounds penetrate two additional targets or blocks of up to 500 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略12%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达500额外生命值的阻挡。
"Ignore an additional 15% of armor with firearms, archery and spears. AP rounds penetrate three additional targets or blocks of up to 750 extra hit points when using Hunting, Marksman or Sniper Rifles.",progression,skills,New,"Ignore an additional 15% of armor with firearms, archery and spears. AP rounds penetrate three additional targets or blocks of up to 750 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略15%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达750额外生命值的阻挡。
"Ignore an additional 18% of armor with firearms, archery and spears. AP rounds penetrate three additional targets or blocks of up to 750 extra hit points when using Hunting, Marksman or Sniper Rifles.",progression,skills,New,"Ignore an additional 18% of armor with firearms, archery and spears. AP rounds penetrate three additional targets or blocks of up to 750 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略18%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达750额外生命值的阻挡。
"Diggy diggy hole! Ignore an additional 25% of armor with firearms, archery and spears. AP rounds penetrate four additional targets or blocks of up to 1000 extra hit points when using Hunting, Marksman or Sniper Rifles.",progression,skills,New,"Diggy diggy hole! Ignore an additional 25% of armor with firearms, archery and spears. AP rounds penetrate four additional targets or blocks of up to 1000 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略25%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达1000额外生命值的阻挡。
Loot Gobbo,progression,skills,New,Loot Gobbo,战利品哥布林
You are mastering the art of looting everything! You are more lucky when looting stuff!,progression,skills,New,You are mastering the art of looting everything! You are more lucky when looting stuff!,你正在掌握一切战利品的艺术！在搜刮物品时你更加幸运！
Adds 3% to loot bonus and quantity. Looting is 1.2% faster.,progression,skills,New,Adds 3% to loot bonus and quantity. Looting is 1.2% faster.,战利品奖励和数量增加3%\n搜刮速度提高1.2%
Adds 6% to loot bonus and quantity. Looting is 2.4% faster.,progression,skills,New,Adds 6% to loot bonus and quantity. Looting is 2.4% faster.,战利品奖励和数量增加6%\n搜刮速度提高2.4%
Adds 9% to loot bonus and quantity. Looting is 3.6% faster.,progression,skills,New,Adds 9% to loot bonus and quantity. Looting is 3.6% faster.,战利品奖励和数量增加9%\n搜刮速度提高3.6%
Adds 12% to loot bonus and quantity. Looting is 4.8% faster.,progression,skills,New,Adds 12% to loot bonus and quantity. Looting is 4.8% faster.,战利品奖励和数量增加12%\n搜刮速度提高4.8%
Adds 15% to loot bonus and quantity. Looting is 6% faster.,progression,skills,New,Adds 15% to loot bonus and quantity. Looting is 6% faster.,战利品奖励和数量增加15%\n搜刮速度提高6%
Adds 18% to loot bonus and quantity. Looting is 7.2% faster.,progression,skills,New,Adds 18% to loot bonus and quantity. Looting is 7.2% faster.,战利品奖励和数量增加18%\n搜刮速度提高7.2%
WE IS BETTER THAN THEM!! Adds 25% to loot bonus and quantity. Looting is 10% faster.,progression,skills,New,WE IS BETTER THAN THEM!! Adds 25% to loot bonus and quantity. Looting is 10% faster.,我们比他们更好!\n战利品奖励和数量增加25%\n搜刮速度提高10%
Crypto,progression,skills,New,Crypto,加密货币
You are researching the Cryptocurrency market values. Gathering the data. Your bartering Skills increase.,progression,skills,New,You are researching the Cryptocurrency market values. Gathering the data. Your bartering Skills increase.,你正在研究加密货币市场价值，收集数据。你的交易技能提升了。
Get a 1.2% better deal buying and selling merchandise with traders.,progression,skills,New,Get a 1.2% better deal buying and selling merchandise with traders.,与商人交易时，购买和出售商品优惠1.2%
Get a 2.4% better deal buying and selling merchandise with traders.,progression,skills,New,Get a 2.4% better deal buying and selling merchandise with traders.,与商人交易时，购买和出售商品优惠2.4%
Get a 3.6% better deal buying and selling merchandise with traders.,progression,skills,New,Get a 3.6% better deal buying and selling merchandise with traders.,与商人交易时，购买和出售商品优惠3.6%
Get a 4.8% better deal buying and selling merchandise with traders.,progression,skills,New,Get a 4.8% better deal buying and selling merchandise with traders.,与商人交易时，购买和出售商品优惠4.8%
Get a 6% better deal buying and selling merchandise with traders.,progression,skills,New,Get a 6% better deal buying and selling merchandise with traders.,与商人交易时，购买和出售商品优惠6%
Get a 7.2 better deal buying and selling merchandise with traders.,progression,skills,New,Get a 7.2 better deal buying and selling merchandise with traders.,与商人交易时，购买和出售商品优惠7.2%
Since when were you under the impression that CRAB-17 was over? Get a 10% better deal buying and selling merchandise with traders.,progression,skills,New,Since when were you under the impression that CRAB-17 was over? Get a 10% better deal buying and selling merchandise with traders.,你从什么时候开始觉得CRAB-17已经结束了?\n与商人交易时，购买和出售商品优惠 10%
Thin Skin,progression,skills,New,Thin Skin,薄弱皮革
You are mastering your body control while wearing Medium armor. Your movement speed and stamina costs while wearing Medium armor decrease.,progression,skills,New,You are mastering your body control while wearing Medium armor. Your movement speed and stamina costs while wearing medium armor decrease.,你正在练习穿着轻甲时的身体控制。穿着轻甲时，你的移动速度和消耗的体力降低。
Reduce Medium armor movement penalty by 5% and stamina penalty by 3%.,progression,skills,New,Reduce Medium armor movement penalty by 5% and stamina penalty by 3%.,中型护甲的移动惩罚减少5%，耐力惩罚减少3%
Reduce Medium armor movement penalty by 10% and stamina penalty by 6%.,progression,skills,New,Reduce Medium armor movement penalty by 10% and stamina penalty by 6%.,中型护甲的移动惩罚减少10%，耐力惩罚减少6%
