Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
tooltipLocked,UI,Menu,,,[EEEE22]{0}[-] Use {1} ([EE9988]Locked[-]),,[EEEE22]{0}[-] Verwende {1} ([EE9988]Verschlossen[-]),[EEEE22]{0}[-] Usa {1} ([EE9988]Bloqueado[-]),[EEEE22]{0}[-] pour utiliser {1} ([EE9988]verrouillé(e)[-]),[EEEE22]{0}[-] Usa {1} ([EE9988]Bloccato[-]),<[EEEE22]{0}[-]> 使用 {1} ([EE9988]施錠済み[-]),[EEEE22]{0}[-] {1} 사용 ([EE9988]잠김[-]),[EEEE22]{0}[-] Użyj {1} ([EE9988]zablokowane[-]),[EEEE22]{0}[-] Usa {1} ([EE9988]Trancado[-]),[EEEE22]{0}[-] Использовать {1} ([EE9988]заперто[-]),[EEEE22]{0}[-] {1} Kullan ([EE9988]Kilitli[-]),[EEEE22]{0}[-] 使用{1}（[EE9988]锁定[-]）,[EEEE22]{0}[-]用法{1}（[EE9988]已鎖定[-])
tooltipUnlocked,UI,Menu,,,[EEEE22]{0}[-] Use {1} ([AAFF88]Unlocked[-]),,[EEEE22]{0}[-] Verwende {1} ([AAFF88]Aufgeschlossen[-]),[EEEE22]{0}[-] Usa {1} ([AAFF88]Desbloqueado[-]),[EEEE22]{0}[-] pour utiliser {1} ([AAFF88]déverrouillé(e)[-]),[EEEE22]{0}[-] Usa {1} ([AAFF88]Sbloccato[-]),<[EEEE22]{0}[-]> 使用 {1} ([AAFF88]解錠済み[-]),[EEEE22]{0}[-] {1} 사용 ([AAFF88]열림[-]),[EEEE22]{0}[-] Użyj {1} ([AAFF88]odblokowane[-]),[EEEE22]{0}[-] Usa {1} ([AAFF88]Destrancado[-]),[EEEE22]{0}[-] Использовать {1} ([AAFF88]открыто[-]),[EEEE22]{0}[-] {1} Kullan ([AAFF88]Kilidi Açık[-]),[EEEE22]{0}[-]使用{1} （[AAFF88]已解锁[-]）,[EEEE22]{0}[-]用法{1}（[AAFF88]已解鎖[-])
ttLevelUp,UI,Tooltip,,,Level Up! You are now level [EEEE22]{0}[-] and have [AAFF88]{1}[-] skill points to spend.,,"Level Up! Du bist jetzt Level [EEEE22]{0}[-] und hast [AAFF88]{1}[-] Fertigkeitspunkte, die du verwenden kannst.",¡Subiste de nivel! ahora eres nivel [EEEE22]{0}[-] y tienes [AAFF88]{1}[-] puntos de habilidad para gastar.,Niveau supérieur! Vous êtes à présent au niveau [EEEE22]{0}[-] et avez [AAFF88]{1}[-] points de compétence à dépenser.,Livello aumentato! Ora sei di livello [EEEE22]{0}[-] e hai [AAFF88]{1}[-] punti abilità da usare.,レベルアップ！レベル[EEEE22]{0}[-]になり、[AAFF88]{1}[-]スキルポイントを使えるようになりました。,레벨 업! 이제 레벨 [EEEE22]{0}[-]가 되어 [AAFF88]{1}[-] 스킬 포인트를 사용할 수 있습니다.,Wyższy poziom! Udało ci się awansować na poziom [EEEE22]{0}[-] i możesz wydać następującą liczbę punktów umiejętności: [AAFF88]{1}[-].,Novo nível! Agora você está no nível [EEEE22]{0}[-] e tem [AAFF88]{1}[-] pontos de habilidade para distribuir.,"Повышение уровня! Теперь у вас уровень [EEEE22]{0}[-], и есть очков навыков для распределения: [AAFF88]{1}[-].",Seviye Atladın! Artık [EEEE22]{0}[-]. seviye oldun ve harcayabileceğin [AAFF88]{1}[-] beceri puanın var.,升级！你当前的等级为[EEEE22]{0}[-]，有[AAFF88]{1}[-]个可分配的技能点。,升級！你現在的等級是[EEEE22]{0}[-]，可使用的技能點為[AAFF88]{1}[-]。
ttCanOnlySellAmount,UI,Tooltip,,,I can only buy [EEEE22]{0}[-] of that item.,,Von diesem Gegenstand kann ich nur [EEEE22]{0}[-] kaufen.,Solo puedo comprar [EEEE22]{0}[-] de ese artículo.,Je ne peux acheter que [EEEE22]{0}[-]exemplaire(s) de cet objet.,Posso comprarne solo [EEEE22]{0}[-] di quell'oggetto.,そのアイテムは[EEEE22]{0}[-]のみ購入できます。,그 아이템 중 [EEEE22]{0}[-]만 살 수 있어.,Kupię maksymalnie [EEEE22]{0}[-].,Só posso comprar [EEEE22]{0}[-] desse item.,Я могу приобрести только [EEEE22]{0}[-] шт. этого предмета.,Bu öğeden sadece [EEEE22]{0}[-] tane alabilirim.,我只能买[EEEE22]{0}[-]个。,我只能買[EEEE22]{0}[-]件該物品。
ttCraftingSkillUnlock,UI,Tooltip,,,You have unlocked [EEEE22]{0}[-] - [AAFF88]{1}[-],,Du hast [EEEE22]{0}[-] - [AAFF88]{1}[-] freigeschaltet,Desbloqueaste [EEEE22]{0}[-] de [AAFF88]{1}[-],Vous avez déverrouillé [EEEE22]{0}[-] - [AAFF88]{1}[-],Hai sbloccato [EEEE22]{0}[-] - [AAFF88]{1}[-],[EEEE22]{0}[-] - [AAFF88]{1}[-]をアンロックしました。,[EEEE22]{0}[-]'-'[AAFF88]{1}[-]을(를) 잠금 해금했습니다.,Odblokowano: [EEEE22]{0}[-] – [AAFF88]{1}[-],Você desbloqueou [EEEE22]{0}[-] - [AAFF88]{1}[-],Вы разблокировали: [EEEE22]{0}[-] — [AAFF88]{1}[-],[EEEE22]{0}[-] - [AAFF88]{1}[-] kilidini açtın,你已解锁[EEEE22]{0}[-]-[AAFF88]{1}[-],你已解鎖[EEEE22]{0}[-] - [AAFF88]{1}[-]。
ttCraftingSkillUnlockQuality,UI,Tooltip,,,You have unlocked [EEEE22]{0}[-] - {1} Quality [AAFF88]{2}[-],,"Du hast [EEEE22]{0}[-] - {1} freigeschaltet, Qualität: [AAFF88]{2}[-]",Desbloqueaste [EEEE22]{0}[-] de {1} de calidad [AAFF88]{2}[-],Vous avez déverrouillé [EEEE22]{0}[-] - {1} de qualité [AAFF88]{2}[-],Hai sbloccato [EEEE22]{0}[-] - {1} di qualità [AAFF88]{2}[-],[EEEE22]{0}[-] - {1}（クオリティー[AAFF88]{2}[-]）をアンロックしました。,[EEEE22]{0}[-]'-'{1} 품질 [AAFF88]{2}[-]을 잠금 해금했습니다.,Odblokowano: [EEEE22]{0}[-] – {1} jakości [AAFF88]{2}[-],Você desbloqueou [EEEE22]{0}[-] - {1} Qualidade [AAFF88]{2}[-],Вы разблокировали: [EEEE22]{0}[-] — {1}. Качество: [AAFF88]{2}[-],[AAFF88]{2}[-] Kalite [EEEE22]{0}[-] - {1} kilidini açtın,你已解锁[EEEE22]{0}[-]-{1} 品质[AAFF88]{2}[-],你已解鎖[EEEE22]{0}[-] - {1}，品質[AAFF88]{2}[-]。
useBlock,UI,Menu,,,[EEEE22]{0}[-] Use {1},,[EEEE22]{0}[-] Verwende {1},[EEEE22]{0}[-] Usa {1},[EEEE22]{0}[-] pour utiliser {1},[EEEE22]{0}[-] Usa {1},<[EEEE22]{0}[-]> 使用する {1},[EEEE22]{0}[-] {1} 사용,[EEEE22]{0}[-] Użyj {1},[EEEE22]{0}[-] Usa {1},[EEEE22]{0}[-] Использовать {1},[EEEE22]{0}[-] {1} Kullan,[EEEE22]{0}[-]使用{1},[EEEE22]{0}[-]用法{1}
useCampfire,UI,HUD,,,Press [EEEE22]{0}[-] to use,,Zum Benutzen [EEEE22]{0}[-] drücken,Pulsa [EEEE22]{0}[-] para usar,Appuyer sur [EEEE22]{0}[-] pour utiliser,Premi [EEEE22]{0}[-] per usare,<[EEEE22]{0}[-]>を押して使用,[EEEE22]{0}[-]을(를) 눌러 사용,"Przyciśnij [EEEE22]{0}[-], aby użyć",Aperte [EEEE22]{0}[-] para usar,"Нажмите [EEEE22]{0}[-], чтобы использовать",Kullanmak için bas: [EEEE22]{0}[-],按下[EEEE22]{0}[-]使用,按下 [EEEE22]{0}[-] 使用
useForge,UI,HUD,,,Press [EEEE22]{0}[-] to use,,Zum Benutzen [EEEE22]{0}[-] drücken,Pulsa [EEEE22]{0}[-] para usar,Appuyer sur [EEEE22]{0}[-] pour utiliser,Premi [EEEE22]{0}[-] per usare,<[EEEE22]{0}[-]>を押して使用,[EEEE22]{0}[-]을(를) 눌러 사용,"Przyciśnij [EEEE22]{0}[-], aby użyć",Aperte [EEEE22]{0}[-] para usar,"Нажмите [EEEE22]{0}[-], чтобы использовать",Kullanmak için bas: [EEEE22]{0}[-],按下[EEEE22]{0}[-]使用,按下 [EEEE22]{0}[-] 使用
useSecureDoor,UI,HUD,,,Press [EEEE22]{0}[-] to open,,Zum Öffnen [EEEE22]{0}[-] drücken,Pulsa [EEEE22]{0}[-] para abrir,Appuyer sur [EEEE22]{0}[-] pour ouvrir,Premi [EEEE22]{0}[-] per aprire,<[EEEE22]{0}[-]>を押して開く,[EEEE22]{0}[-]을(를) 눌러 열기,"Przyciśnij [EEEE22]{0}[-], aby otworzyć",Aperte [EEEE22]{0}[-] para abrir,"Нажмите [EEEE22]{0}[-], чтобы открыть",Açmak için bas: [EEEE22]{0}[-],按下[EEEE22]{0}[-]打开,按下 [EEEE22]{0}[-] 打開
useWorkstation,UI,HUD,,,Press [EEEE22]{0}[-] to use,,Zum Benutzen [EEEE22]{0}[-] drücken,Pulsa [EEEE22]{0}[-] para usar,Appuyer sur [EEEE22]{0}[-] pour utiliser,Premi [EEEE22]{0}[-] per usare,<[EEEE22]{0}[-]>を押して使用する,[EEEE22]{0}[-]을(를) 눌러 사용,"Przyciśnij [EEEE22]{0}[-], aby użyć",Aperte [EEEE22]{0}[-] para usar,"Нажмите [EEEE22]{0}[-], чтобы использовать",Kullanmak için bas: [EEEE22]{0}[-],按下[EEEE22]{0}[-]使用,按下 [EEEE22]{0}[-] 使用
useSwitchLightOff,UI,Menu,,,[EEEE22]{0}[-] Switch light off,,[EEEE22]{0}[-] Licht ausschalten,[EEEE22]{0}[-] Apagar la luz,[EEEE22]{0}[-] Éteindre la lumière,[EEEE22]{0}[-] spegne le luci,<[EEEE22]{0}[-]> 電気を消す,[EEEE22]{0}[-] 조명 스위치 끄기,[EEEE22]{0}[-] Wył. światło,[EEEE22]{0}[-] Desligar luz,[EEEE22]{0}[-] Выключить свет,[EEEE22]{0}[-] Işığı kapat,[EEEE22]{0}[-]关灯,[EEEE22]{0}[-]關掉燈
useSwitchLightOn,UI,Menu,,,[EEEE22]{0}[-] Switch light on,,[EEEE22]{0}[-] Licht einschalten,[EEEE22]{0}[-] Encender la luz,[EEEE22]{0}[-] Allumer la lumière,[EEEE22]{0}[-] accende le luci,<[EEEE22]{0}[-]> 電気をつける,[EEEE22]{0}[-] 조명 스위치 켜기,[EEEE22]{0}[-] Wł. światło,[EEEE22]{0}[-] Ligar luz,[EEEE22]{0}[-] Включить свет,[EEEE22]{0}[-] Işığı aç,[EEEE22]{0}[-]开灯,[EEEE22]{0}[-]打開燈
ttPressTo,UI,HUD,,,Press [EEEE22]{0}[-] to {1},,Zum {1} [EEEE22]{0}[-] drücken,Pulsa [EEEE22]{0}[-] para {1},Appuyer sur [EEEE22]{0}[-] pour {1},Premi [EEEE22]{0}[-] per {1},[EEEE22]{0}[-]を押して{1},[EEEE22]{0}[-]을(를) 눌러 {1} 사용,"{1}, naciskając [EEEE22]{0}[-]",Aperte [EEEE22]{0}[-] para {1},"Нажмите [EEEE22]{0}[-], чтобы {1}",{1} için [EEEE22]{0}[-] tuşuna bas,按下[EEEE22]{0}[-]以{1},按下 [EEEE22]{0}[-] 以 {1}
vendingMachineActivate,UI,Use Prompt,,,[EEEE22]{0}[-] to interact with {1},,"Drücke [EEEE22]{0}[-], um mit {1} zu interagieren",[EEEE22]{0}[-] para interactuar con {1},[EEEE22]{0}[-] pour interagir avec {1},[EEEE22]{0}[-] per interagire con {1},<[EEEE22]{0}[-]>で{1}にアクセスします,[EEEE22]{0}[-](으)로 {1}과(와) 상호작용,"[EEEE22]{0}[-], aby wejść w interakcję z: {1}",Aperte [EEEE22]{0}[-] para interagir com {1},{1}: [EEEE22]{0}[-] для взаимодействия,{1} ile etkileşim kurmak için [EEEE22]{0}[-],[EEEE22]{0}[-]与{1}互动,[EEEE22]{0}[-] 與{1}互動

pickupCrops,UI,HUD,,,Press [EEEE22]{{0}}[-] to pick up: {0} {1},,"Drücke [EEEE22]{{0}}[-], um {0} {1} aufzuheben",Pulsa [EEEE22]{{0}}[-] para coger: {0}{1},Appuyer sur [EEEE22]{{0}}[-] pour ramasser: {0} {1},Premi [EEEE22]{{0}}[-] per raccogliere: {0} {1},<[EEEE22]{{0}}[-]>で 拾います: {0} {1},[EEEE22]{{0}}[-]을(를) 눌러 집어들기:{0} {1},"Przyciśnij [EEEE22]{{0}}[-], aby podnieść: {0} {1}",Aperte [EEEE22]{{0}}[-] para pegar: {0} {1},"Нажмите [EEEE22]{{0}}[-], чтобы подобрать: {0}{1}",[EEEE22]{{0}}[-] tuşuna basarak al: {0} {1},按下[EEEE22]{{0}}[-]拾取：{0}{1},按 [EEEE22]{{0}}[-] 撿起{0}{1}
pickupPrompt,UI,HUD,,,Press [EEEE22]{{0}}[-] to pick up: {0},,"Drücke [EEEE22]{{0}}[-], um {0}  aufzuheben",Pulsa [EEEE22]{{0}}[-] para coger: {0},Appuyer sur [EEEE22]{{0}}[-] pour ramasser: {0},Premi [EEEE22]{{0}}[-] per raccogliere: {0},<[EEEE22]{{0}}[-]>で {0}を拾います,[EEEE22]{{0}}[-]을(를) 눌러 집어들기:{0},"Przyciśnij [EEEE22]{{0}}[-], aby podnieść: {0}",Aperte [EEEE22]{{0}}[-] para pegar: {0},"Нажмите [EEEE22]{{0}}[-], чтобы подобрать: {0}",[EEEE22]{{0}}[-] tuşuna basarak al: {0},按下[EEEE22]{{0}}[-]拾取：{0},按 [EEEE22]{{0}}[-] 撿起{0}
sleepingBagOwnership,UI,HUD,,,[EEEE22]{0}[-] is owned by [AAFF88]{1}[-],,[EEEE22]{0}[-] gehört [AAFF88]{1}[-],[EEEE22]{0}[-] pertenece a [AAFF88]{1}[-],[EEEE22]{0}[-] appartient à [AAFF88]{1}[-],[EEEE22]{0}[-] è di [AAFF88]{1}[-],[EEEE22]{0}[-] は [AAFF88]{1}[-] が所有しています,[EEEE22]{0}[-] 님이 [AAFF88]{1}[-]을(를) 소유했습니다,[EEEE22]{0}[-] jest własnością: [AAFF88]{1}[-],[EEEE22]{0}[-] é de [AAFF88]{1}[-],[EEEE22]{0}[-] принадлежит игроку [AAFF88]{1}[-],"[EEEE22]{0}[-], [AAFF88]{1}[-] adlı oyuncuya ait",[EEEE22]{0}[-]为[AAFF88]{1}[-]所有。,[EEEE22]{0}[-]屬於[AAFF88]{1}[-]

dewCollectorEmpty,UI,Use Prompt,,,[EEEE22]{0}[-] Open {1} ([DECEA3]Empty[-]),,[EEEE22]{0}[-] Öffne {1} ([DECEA3]Leer[-]),[EEEE22]{0}[-] Abierto {1} ([DECEA3]Vacío[-]),[EEEE22]{0}[-] Ouvrir le {1} ([DECEA3]vide[-]),[EEEE22]{0}[-] apre {1} ([DECEA3]vuoto[-]),[EEEE22]{0}[-]で{1}を開く([DECEA3]空[-]),[EEEE22]{0}[-]로 {1} 열기 ([DECEA3]비었음[-]),[EEEE22]{0}[-] Otwórz: {1} ([DECEA3]pusto[-]),[EEEE22]{0}[-] Abre {1} ([DECEA3]Vazio[-]),[EEEE22]{0}[-]: открыть ({1}) ([DECEA3]Пусто[-]),[EEEE22]{0}[-] {1} Aç ([DECEA3]Boş[-]),[EEEE22]{0}[-] 打开 {1}（[DECEA3]空的[-]）,[EEEE22]{0}[-] 開啟{1}（[DECEA3]空[-]）
dewCollectorHasDirtyWater,UI,Use Prompt,,,[EEEE22]{0}[-] Open {1} ([CABE21]Water[-]),,[EEEE22]{0}[-] Öffne {1} ([CABE21]Wasser[-]),[EEEE22]{0}[-] Abierto {1} ([CABE21]Agua[-]),[EEEE22]{0}[-] Ouvrir le {1} ([CABE21]eau[-]),[EEEE22]{0}[-] apre {1} ([CABE21]acqua[-]),[EEEE22]{0}[-]で{1}を開く([CABE21]水[-]),[EEEE22]{0}[-]로 {1} 열기 ([CABE21]물[-]),[EEEE22]{0}[-] Otwórz: {1} ([CABE21]woda[-]),[EEEE22]{0}[-] Abre {1} ([CABE21]Água[-]),[EEEE22]{0}[-]: открыть ({1}) ([CABE21]Вода[-]),[EEEE22]{0}[-] {1} Aç ([CABE21]Su[-]),[EEEE22]{0}[-] 打开 {1}（[CABE21]水[-]）,[EEEE22]{0}[-] 開啟{1}（[CABE21]水[-]）
dewCollectorHasWater,,,,,[EEEE22]{0}[-] Open {1} ([00ADD8]Water[-]),,[EEEE22]{0}[-] Öffne {1} ([00ADD8]Wasser[-]),[EEEE22]{0}[-] Abierto {1} ([00ADD8]Agua[-]),[EEEE22]{0}[-] Ouvrir le {1} ([00ADD8]eau[-]),[EEEE22]{0}[-] apre {1} ([00ADD8]acqua[-]),[EEEE22]{0}[-]で{1}を開く ([00ADD8]水[-]),[EEEE22]{0}[-]로 {1} 열기 ([00ADD8]물[-]),[EEEE22]{0}[-] Otwórz: {1} ([00ADD8]woda[-]),[EEEE22]{0}[-] Abre {1} ([00ADD8]Água[-]),[EEEE22]{0}[-]: открыть ({1}) ([00ADD8]Вода[-]),[EEEE22]{0}[-] {1} Aç ([00ADD8]Su[-]),[EEEE22]{0}[-] 打开 {1}（[00ADD8]水[-]）,[EEEE22]{0}[-] 開啟{1}（[00ADD8]水[-]）

journalComplete,UI,Journal,,,Redeem [EEEE22]{0}[-],,Einlösen [EEEE22]{0}[-],Canjear [EEEE22]{0}[-],Valider [EEEE22]{0}[-],Riscatta [EEEE22]{0}[-],受け取り [EEEE22]{0}[-],교환 [EEEE22]{0}[-],Odbierz: [EEEE22]{0}[-],Resgatar [EEEE22]{0}[-],Завершить [EEEE22]{0}[-],Al: [EEEE22]{0}[-],兑换 [EEEE22]{0}[-],兌換 [EEEE22]{0}[-]
journalTrack,UI,Journal,,,Track [EEEE22]{0}[-],,Verfolgen [EEEE22]{0}[-],Rastrear [EEEE22]{0}[-],Suivre [EEEE22]{0}[-],Traccia [EEEE22]{0}[-],追跡 [EEEE22]{0}[-],추적 [EEEE22]{0}[-],Śledź: [EEEE22]{0}[-],Rastrear [EEEE22]{0}[-],Отследить [EEEE22]{0}[-],Takip Et: [EEEE22]{0}[-],追踪 [EEEE22]{0}[-],追蹤 [EEEE22]{0}[-]

xuiAccept,UI,XUI,,,[AAFF88]Accept[-],,[AAFF88]Akzeptieren[-],[AAFF88]Aceptar[-],[AAFF88]Accepter[-],[AAFF88]Accetta[-],[AAFF88]承認[-],[AAFF88]수락[-],[AAFF88]Przyjmij[-],[AAFF88]Aceitar[-],[AAFF88]Принять[-],[AAFF88]Kabul Et[-],[AAFF88]接受[-],[AAFF88]接受[-]
xuiDecline,UI,XUI,,,[EE9988]Decline[-],,[EE9988]Ablehnen[-],[EE9988]Rechazar[-],[EE9988]Décliner[-],[EE9988]Rifiuta[-],[EE9988]却下[-],[EE9988]거절[-],[EE9988]Odrzuć[-],[EE9988]Recusar[-],[EE9988]Отклонить[-],[EE9988]Reddet[-],[EE9988]拒绝[-],[EE9988]拒絕[-]

cntWoodWritableCrate,blocks,block,,,Wood Storage Crate,,Holz-Lagerkiste,Embalaje de almacenamiento de madera,Caisse de rangement en bois,Cassa di stoccaggio di legno,木製ストレージ,목재 보관함,Skrzynia na towary – drewniana,Caixote de deposito de madeira,Деревянный складской ящик,Tahta Depolama Sandığı,木储藏箱,木儲藏箱
cntWoodWritableCrateInsecure,blocks,block,,,Wood Storage Crate Insecure,,"Holz-Lagerkiste, unsicher",Embalaje de almacenamiento de madera no asegurado,Caisse de rangement en bois non sécurisée,Cassa di stoccaggio di legno pericolante,木製ストレージ　鍵無し,목재 보관함 잠기지 않음,"Skrzynia na towary – drewniana, niezabezpieczona",Caixote inseguro de deposito de madeira,Ненадежный деревянный складской ящик,"Tahta Depolama Sandığı, Korumasız",不结实的木储藏箱,不安全的木儲藏箱
