Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
plantedPotato3Harvest,blocks,Farming,,,Potato Plant,,Kartoffelpflanze,Planta de patata,Plant de pomme de terre,Pianta di patata,ジャガイモプラント,감자,Ziemniak — roślina,Planta da batata,Растение «Картофель»,Patates Bitkisi,土豆植株,土豆植株,Planta de patata
plantedPumpkin3Harvest,blocks,Farming,,,Pumpkin Plant,,Kürbispflanze,Planta de calabaza,Plant de citrouille,Pianta di zucca,カボチャプラント,호박,Dynia — roślina,Planta de Abóbora,Растение «Тыква»,Bal Kabağı Bitkisi,南瓜植株,南瓜植株,Planta de calabaza
plantedSnowberry3Harvest,blocks,Farming,,,Snowberry Plant,,Schneebeerenpflanze,Planta de baya de nieve,Plant de symphorine,Pianta di sinforina,セッコウボクプラント,스노우베리,Śnieguliczka — roślina,Planta de Baga-da-neve,Растение «Снежноягодник»,Kar Üzümü Bitkisi,雪莓植株,白漿果植株,Planta de baya de nieve
plantedYucca3Harvest,blocks,Farming,,,Yucca Plant,,Yucca-Pflanze,Planta de yuca,Plant de yucca,Pianta di yucca,ユッカプラント,유카,Jukka — roślina,Planta de Yucca,Растение «Юкка»,Avize Ağacı Bitkisi,丝兰植株,絲蘭植株,Planta de yuca
plantedAloe3HarvestPlayer,blocks,Farming,,,Aloe Vera Plant,,Aloe-Vera-Pflanze,Planta de aloe vera,Plant d'aloe vera,Pianta di aloe vera,アロエベラプラント,알로에베라,Aloes — roślina,Planta de babosa,Растение «Алоэ вера»,Aloe Vera Bitkisi,芦荟植株,蘆薈植株,Planta de aloe vera
plantedBlueberry3HarvestPlayer,blocks,Farming,,,Blueberry Plant,,Heidelbeerpflanze,Planta de moras,Plant de myrtille,Pianta di mirtilli,ブルーベリープラント,블루베리,Czarna jagoda — roślina,Planta de mirtilo,Растение «Черника»,Yabanmersini Bitkisi,蓝莓植株,藍莓植株,Planta de moras
plantedChrysanthemum3HarvestPlayer,blocks,Farming,,,Chrysanthemum,,Chrysantheme,Crisantemo,Chrysanthème,Crisantemo,菊,국화,Chryzantema,Crisântemo,Хризантема,Krizantem,菊花,菊花,Crisantemo
plantedCoffee3HarvestPlayer,blocks,Farming,,,Coffee Plant,,Kaffeepflanze,Planta de café,Plant de café,Pianta di caffè,コーヒープラント,커피,Kawa — roślina,Planta de café,Растение «Кофейное дерево»,Kahve Bitkisi,咖啡植株,咖啡樹,Planta de café
plantedCorn3HarvestPlayer,blocks,Farming,,,Corn Plant,,Maispflanze,Planta de maíz,Plant de maïs,Pianta di granoturco,トウモロコシプラント,옥수수,Kukurydza — roślina,Planta de milho,Растение «Кукуруза»,Mısır Bitkisi,玉米植株,玉米植株,Planta de maíz
plantedCotton3HarvestPlayer,blocks,Farming,,,Cotton Plant,,Baumwollpflanze,Planta de algodón,Plant de coton,Pianta di cotone,綿花プラント,목화,Bawełna — roślina,Planta de algodão,Растение «Хлопок»,Pamuk Bitkisi,棉花植株,棉花植株,Planta de algodón
plantedGoldenrod3HarvestPlayer,blocks,Farming,,,Goldenrod Flower,,Goldrutenpflanze,Flor de vara de oro,Fleur de gerbe d'or,Fiore di verga d'oro,アキノキリンソウの花,미역취 꽃,Nawłoć — kwiat,Flor de solidago,Цветок золотарника,Altınbaşak Çiçeği,秋麒麟花,麒麟草花,Flor de vara de oro
plantedGraceCorn3HarvestPlayer,blocks,Farming,,,Super Corn,,Super-Mais,Supermaíz,Super maïs,Granoturco super,スーパーコーン,슈퍼 옥수수,Super kukurydza,Supermilho,Суперкукуруза,Süper Mısır,超级玉米,超級玉米,Supermaíz
plantedHop3HarvestPlayer,blocks,Farming,,,Hop Plant,,Hopfenpflanze,Planta de lúpulo,Plant de houblon,Pianta di luppolo,ホッププラント,홉,Chmiel — roślina,Planta de lúpulo,Растение «Хмель»,Şerbetçiotu Bitkisi,啤酒花植株,啤酒花植株,Planta de lúpulo
plantedMushroom3HarvestPlayer,blocks,Farming,,,Mushrooms,,Pilze,Setas,Champignons,Funghi,マッシュルーム,버섯,Grzyby,Cogumelos,Грибы,Mantarlar,蘑菇,蘑菇,Setas
plantedPotato3HarvestPlayer,blocks,Farming,,,Potato Plant,,Kartoffelpflanze,Planta de patata,Plant de pomme de terre,Pianta di patata,ジャガイモプラント,감자,Ziemniak — roślina,Planta da batata,Растение «Картофель»,Patates Bitkisi,土豆植株,土豆植株,Planta de patata
plantedPumpkin3HarvestPlayer,blocks,Farming,,,Pumpkin Plant,,Kürbispflanze,Planta de calabaza,Plant de citrouille,Pianta di zucca,カボチャプラント,호박,Dynia — roślina,Planta de Abóbora,Растение «Тыква»,Bal Kabağı Bitkisi,南瓜植株,南瓜植株,Planta de calabaza
plantedSnowberry3HarvestPlayer,blocks,Farming,,,Snowberry Plant,,Schneebeerenpflanze,Planta de baya de nieve,Plant de symphorine,Pianta di sinforina,セッコウボクプラント,스노우베리,Śnieguliczka — roślina,Planta de Baga-da-neve,Растение «Снежноягодник»,Kar Üzümü Bitkisi,雪莓植株,白漿果植株,Planta de baya de nieve
plantedYucca3HarvestPlayer,blocks,Farming,,,Yucca Plant,,Yucca-Pflanze,Planta de yuca,Plant de yucca,Pianta di yucca,ユッカプラント,유카,Jukka — roślina,Planta de Yucca,Растение «Юкка»,Avize Ağacı Bitkisi,丝兰植株,絲蘭植株,Planta de yuca
mushroom01,blocks,Farming,,,Mushrooms,,Pilze,Setas,Champignons,Funghi,マッシュルーム,버섯,Grzyby,Cogumelos,Грибы,Mantarlar,蘑菇,蘑菇
mushroom02,blocks,Farming,,,Mushrooms,,Pilze,Setas,Champignons,Funghi,マッシュルーム,버섯,Grzyby,Cogumelos,Грибы,Mantarlar,蘑菇,蘑菇
